Time,PACU_VAV_BOT:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Heat Cap [W],PACU_VAV_BOT:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Heat Cap [W],PACU_VAV_BOT:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Heat Cap [W],PACU_VAV_MID:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Heat Cap [W],PACU_VAV_MID:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Heat Cap [W],PACU_VAV_TOP:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Heat Cap [W],PACU_VAV_TOP:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Tot Cool Cap [W]
00:15:00,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,1.911065E+00,2.086536E+04,6.060630E+03,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,8.431773E-01,7.406869E+03,0.000000E+00,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,8.431773E-01,7.406869E+03,0.000000E+00
00:30:00,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,1.929057E+00,2.086604E+04,6.012758E+03,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,8.431773E-01,7.218774E+03,0.000000E+00,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,8.431773E-01,7.218774E+03,0.000000E+00
00:45:00,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,1.943994E+00,2.082393E+04,5.918298E+03,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,8.431773E-01,7.030679E+03,0.000000E+00,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,8.431773E-01,7.030679E+03,0.000000E+00
01:00:00,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,1.956739E+00,2.075119E+04,5.798935E+03,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,8.431773E-01,6.842584E+03,0.000000E+00,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,8.431773E-01,6.842584E+03,0.000000E+00
01:15:00,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,1.967901E+00,2.073994E+04,5.750535E+03,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,8.521746E-01,6.788865E+03,0.000000E+00,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,8.431773E-01,6.717188E+03,0.000000E+00
01:30:00,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,1.977906E+00,2.071251E+04,5.692930E+03,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,8.608316E-01,6.729809E+03,0.000000E+00,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,8.431773E-01,6.591791E+03,0.000000E+00
01:45:00,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,1.988490E+00,2.069318E+04,5.648240E+03,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,8.699696E-01,6.671867E+03,0.000000E+00,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,8.431773E-01,6.466395E+03,0.000000E+00
02:00:00,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,1.998474E+00,2.066545E+04,5.598265E+03,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,8.784719E-01,6.606427E+03,0.000000E+00,8.451696E-01,2.607277E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,8.431773E-01,6.340998E+03,0.000000E+00
02:15:00,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,2.007981E+00,2.067286E+04,5.586151E+03,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,8.864535E-01,6.567577E+03,0.000000E+00,8.499319E-01,2.621969E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,8.431773E-01,6.246951E+03,0.000000E+00
02:30:00,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,2.017113E+00,2.067504E+04,5.570572E+03,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,8.940179E-01,6.523902E+03,0.000000E+00,8.547505E-01,2.636834E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,8.431773E-01,6.152903E+03,0.000000E+00
02:45:00,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,2.025962E+00,2.067325E+04,5.552494E+03,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,9.012704E-01,6.476298E+03,0.000000E+00,8.633486E-01,2.663358E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,8.431773E-01,6.058856E+03,0.000000E+00
03:00:00,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,2.034574E+00,2.066814E+04,5.532400E+03,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,9.082547E-01,6.425180E+03,0.000000E+00,8.733535E-01,2.694222E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,8.431773E-01,5.964808E+03,0.000000E+00
03:15:00,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,2.042981E+00,2.066018E+04,5.510528E+03,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,9.150023E-01,6.370855E+03,0.000000E+00,8.830091E-01,2.724009E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,8.431773E-01,5.870761E+03,0.000000E+00
03:30:00,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,2.051210E+00,2.064971E+04,5.487119E+03,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,9.215418E-01,6.313599E+03,0.000000E+00,8.924886E-01,2.753252E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,8.431773E-01,5.776714E+03,0.000000E+00
03:45:00,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,2.059278E+00,2.063701E+04,5.462277E+03,8.431773E-01,2.601131E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,9.278948E-01,6.253628E+03,0.000000E+00,9.017922E-01,2.781953E+04,8.431773E-01,0.000000E+00,0.000000E+00,8.431773E-01,0.000000E+00,8.431773E-01,5.682666E+03,0.000000E+00
