day,hour,minute,time_str,outdoor_temp,avg_indoor_temp,electric_power_kw,cumulative_kwh,avg_pmv,comfort_violated,total_occupancy,cooling_setpoint,heating_setpoint,run_mode,temp_PLENUM-1,humidity_PLENUM-1,pmv_PLENUM-1,power_PLENUM-1,kwh_PLENUM-1,occ_PLENUM-1,temp_SPACE1-1,humidity_SPACE1-1,pmv_SPACE1-1,power_SPACE1-1,kwh_SPACE1-1,occ_SPACE1-1,temp_SPACE2-1,humidity_SPACE2-1,pmv_SPACE2-1,power_SPACE2-1,kwh_SPACE2-1,occ_SPACE2-1,temp_SPACE3-1,humidity_SPACE3-1,pmv_SPACE3-1,power_SPACE3-1,kwh_SPACE3-1,occ_SPACE3-1,temp_SPACE4-1,humidity_SPACE4-1,pmv_SPACE4-1,power_SPACE4-1,kwh_SPACE4-1,occ_SPACE4-1,temp_SPACE5-1,humidity_SPACE5-1,pmv_SPACE5-1,power_SPACE5-1,kwh_SPACE5-1,occ_SPACE5-1
7,0,15,Day 07 00:15,14.43,26.8,11.88,2.97,0.5,False,0.0,27.0,17.0,AI-Controlled,29.0,38.5,0.85,1.98,0.49,0,26.5,45.9,0.45,1.98,0.49,0,27.1,45.9,0.55,1.98,0.49,0,26.5,45.9,0.45,1.98,0.49,0,27.1,45.9,0.55,1.98,0.49,0,26.5,45.9,0.45,1.98,0.49,0
7,0,30,Day 07 00:30,14.05,26.8,11.88,5.94,0.5,False,0.0,27.0,17.0,AI-Controlled,29.0,38.5,0.85,1.98,0.99,0,26.5,45.9,0.45,1.98,0.99,0,27.1,45.9,0.55,1.98,0.99,0,26.5,45.9,0.45,1.98,0.99,0,27.1,45.9,0.55,1.98,0.99,0,26.5,45.9,0.45,1.98,0.99,0
7,0,45,Day 07 00:45,13.68,26.8,11.88,8.91,0.5,False,0.0,27.0,17.0,AI-Controlled,29.0,38.5,0.85,1.98,1.48,0,26.5,45.9,0.45,1.98,1.48,0,27.1,45.9,0.55,1.98,1.48,0,26.5,45.9,0.45,1.98,1.48,0,27.1,45.9,0.55,1.98,1.48,0,26.5,45.9,0.45,1.98,1.48,0
7,0,60,Day 07 00:60,13.3,26.8,11.88,11.88,0.5,False,0.0,27.0,17.0,AI-Controlled,29.0,38.5,0.85,1.98,1.98,0,26.5,45.9,0.45,1.98,1.98,0,27.1,45.9,0.55,1.98,1.98,0,26.5,45.9,0.45,1.98,1.98,0,27.1,45.9,0.55,1.98,1.98,0,26.5,45.9,0.45,1.98,1.98,0
7,1,15,Day 07 01:15,13.2,26.8,11.88,14.84,0.5,False,0.0,27.0,17.0,AI-Controlled,29.0,38.5,0.85,1.98,2.47,0,26.5,45.9,0.45,1.98,2.47,0,27.1,45.9,0.55,1.98,2.47,0,26.5,45.9,0.45,1.98,2.47,0,27.1,45.9,0.55,1.98,2.47,0,26.5,45.9,0.45,1.98,2.47,0
7,1,30,Day 07 01:30,13.1,26.8,11.88,17.81,0.5,False,0.0,27.0,17.0,AI-Controlled,29.0,38.5,0.85,1.98,2.97,0,26.5,45.9,0.45,1.98,2.97,0,27.1,45.9,0.55,1.98,2.97,0,26.5,45.9,0.45,1.98,2.97,0,27.1,45.9,0.55,1.98,2.97,0,26.5,45.9,0.45,1.98,2.97,0
7,1,45,Day 07 01:45,13.0,26.8,11.88,20.78,0.5,False,0.0,27.0,17.0,AI-Controlled,29.0,38.5,0.85,1.98,3.46,0,26.5,45.9,0.45,1.98,3.46,0,27.1,45.9,0.55,1.98,3.46,0,26.5,45.9,0.45,1.98,3.46,0,27.1,45.9,0.55,1.98,3.46,0,26.5,45.9,0.45,1.98,3.46,0
7,1,60,Day 07 01:60,12.9,26.8,11.88,23.75,0.5,False,0.0,27.0,17.0,AI-Controlled,29.0,38.5,0.85,1.98,3.96,0,26.5,45.9,0.45,1.98,3.96,0,27.1,45.9,0.55,1.98,3.96,0,26.5,45.9,0.45,1.98,3.96,0,27.1,45.9,0.55,1.98,3.96,0,26.5,45.9,0.45,1.98,3.96,0
7,2,15,Day 07 02:15,12.83,26.8,11.88,26.72,0.5,False,0.0,27.0,17.0,AI-Controlled,29.0,38.5,0.85,1.98,4.45,0,26.5,45.9,0.45,1.98,4.45,0,27.1,45.9,0.55,1.98,4.45,0,26.5,45.9,0.45,1.98,4.45,0,27.1,45.9,0.55,1.98,4.45,0,26.5,45.9,0.45,1.98,4.45,0
7,2,30,Day 07 02:30,12.75,26.8,11.88,29.69,0.5,False,0.0,27.0,17.0,AI-Controlled,29.0,38.5,0.85,1.98,4.95,0,26.5,45.9,0.45,1.98,4.95,0,27.1,45.9,0.55,1.98,4.95,0,26.5,45.9,0.45,1.98,4.95,0,27.1,45.9,0.55,1.98,4.95,0,26.5,45.9,0.45,1.98,4.95,0
