day,hour,minute,time_str,outdoor_temp,avg_indoor_temp,electric_power_kw,cumulative_kwh,avg_pmv,comfort_violated,total_occupancy,cooling_setpoint,heating_setpoint,run_mode,temp_PLENUM-1,humidity_PLENUM-1,pmv_PLENUM-1,power_PLENUM-1,kwh_PLENUM-1,occ_PLENUM-1,temp_SPACE1-1,humidity_SPACE1-1,pmv_SPACE1-1,power_SPACE1-1,kwh_SPACE1-1,occ_SPACE1-1,temp_SPACE2-1,humidity_SPACE2-1,pmv_SPACE2-1,power_SPACE2-1,kwh_SPACE2-1,occ_SPACE2-1,temp_SPACE3-1,humidity_SPACE3-1,pmv_SPACE3-1,power_SPACE3-1,kwh_SPACE3-1,occ_SPACE3-1,temp_SPACE4-1,humidity_SPACE4-1,pmv_SPACE4-1,power_SPACE4-1,kwh_SPACE4-1,occ_SPACE4-1,temp_SPACE5-1,humidity_SPACE5-1,pmv_SPACE5-1,power_SPACE5-1,kwh_SPACE5-1,occ_SPACE5-1
7,0,15,Day 07 00:15,14.43,22.8,12.5,3.12,-0.04,False,0.0,23.0,20.0,Baseline,25.0,38.5,0.85,2.08,0.52,0,22.5,43.9,-0.09,2.08,0.52,0,23.1,43.9,0.01,2.08,0.52,0,22.5,43.9,-0.09,2.08,0.52,0,23.1,43.9,0.01,2.08,0.52,0,22.5,43.9,-0.09,2.08,0.52,0
7,0,30,Day 07 00:30,14.05,22.8,12.5,6.25,-0.04,False,0.0,23.0,20.0,Baseline,25.0,38.5,0.85,2.08,1.04,0,22.5,43.9,-0.09,2.08,1.04,0,23.1,43.9,0.01,2.08,1.04,0,22.5,43.9,-0.09,2.08,1.04,0,23.1,43.9,0.01,2.08,1.04,0,22.5,43.9,-0.09,2.08,1.04,0
7,0,45,Day 07 00:45,13.68,22.8,12.5,9.38,-0.04,False,0.0,23.0,20.0,Baseline,25.0,38.5,0.85,2.08,1.56,0,22.5,43.9,-0.09,2.08,1.56,0,23.1,43.9,0.01,2.08,1.56,0,22.5,43.9,-0.09,2.08,1.56,0,23.1,43.9,0.01,2.08,1.56,0,22.5,43.9,-0.09,2.08,1.56,0
7,0,60,Day 07 00:60,13.3,22.8,12.5,12.5,-0.04,False,0.0,23.0,20.0,Baseline,25.0,38.5,0.85,2.08,2.08,0,22.5,43.9,-0.09,2.08,2.08,0,23.1,43.9,0.01,2.08,2.08,0,22.5,43.9,-0.09,2.08,2.08,0,23.1,43.9,0.01,2.08,2.08,0,22.5,43.9,-0.09,2.08,2.08,0
7,1,15,Day 07 01:15,13.2,22.8,12.5,15.62,-0.04,False,0.0,23.0,20.0,Baseline,25.0,38.5,0.85,2.08,2.6,0,22.5,43.9,-0.09,2.08,2.6,0,23.1,43.9,0.01,2.08,2.6,0,22.5,43.9,-0.09,2.08,2.6,0,23.1,43.9,0.01,2.08,2.6,0,22.5,43.9,-0.09,2.08,2.6,0
7,1,30,Day 07 01:30,13.1,22.8,12.5,18.75,-0.04,False,0.0,23.0,20.0,Baseline,25.0,38.5,0.85,2.08,3.12,0,22.5,43.9,-0.09,2.08,3.12,0,23.1,43.9,0.01,2.08,3.12,0,22.5,43.9,-0.09,2.08,3.12,0,23.1,43.9,0.01,2.08,3.12,0,22.5,43.9,-0.09,2.08,3.12,0
7,1,45,Day 07 01:45,13.0,22.8,12.5,21.88,-0.04,False,0.0,23.0,20.0,Baseline,25.0,38.5,0.85,2.08,3.65,0,22.5,43.9,-0.09,2.08,3.65,0,23.1,43.9,0.01,2.08,3.65,0,22.5,43.9,-0.09,2.08,3.65,0,23.1,43.9,0.01,2.08,3.65,0,22.5,43.9,-0.09,2.08,3.65,0
7,1,60,Day 07 01:60,12.9,22.8,12.5,25.0,-0.04,False,0.0,23.0,20.0,Baseline,25.0,38.5,0.85,2.08,4.17,0,22.5,43.9,-0.09,2.08,4.17,0,23.1,43.9,0.01,2.08,4.17,0,22.5,43.9,-0.09,2.08,4.17,0,23.1,43.9,0.01,2.08,4.17,0,22.5,43.9,-0.09,2.08,4.17,0
7,2,15,Day 07 02:15,12.83,22.8,12.5,28.12,-0.04,False,0.0,23.0,20.0,Baseline,25.0,38.5,0.85,2.08,4.69,0,22.5,43.9,-0.09,2.08,4.69,0,23.1,43.9,0.01,2.08,4.69,0,22.5,43.9,-0.09,2.08,4.69,0,23.1,43.9,0.01,2.08,4.69,0,22.5,43.9,-0.09,2.08,4.69,0
7,2,30,Day 07 02:30,12.75,22.8,12.5,31.25,-0.04,False,0.0,23.0,20.0,Baseline,25.0,38.5,0.85,2.08,5.21,0,22.5,43.9,-0.09,2.08,5.21,0,23.1,43.9,0.01,2.08,5.21,0,22.5,43.9,-0.09,2.08,5.21,0,23.1,43.9,0.01,2.08,5.21,0,22.5,43.9,-0.09,2.08,5.21,0
