day,hour,minute,time_str,outdoor_temp,avg_indoor_temp,electric_power_kw,cumulative_kwh,avg_pmv,comfort_violated,total_occupancy,cooling_setpoint,heating_setpoint,run_mode
7,0,15,Day 07 00:15,21.1,22.8,12.5,3.12,-0.04,False,0.0,23.0,20.0,Baseline
7,0,30,Day 07 00:30,21.1,22.8,12.5,6.25,-0.04,False,0.0,23.0,20.0,Baseline
7,0,45,Day 07 00:45,21.1,22.8,12.5,9.38,-0.04,False,0.0,23.0,20.0,Baseline
7,0,60,Day 07 00:60,21.1,22.8,12.5,12.5,-0.04,False,0.0,23.0,20.0,Baseline
7,1,15,Day 07 01:15,20.98,22.8,12.5,15.62,-0.04,False,0.0,23.0,20.0,Baseline
7,1,30,Day 07 01:30,20.85,22.8,12.5,18.75,-0.04,False,0.0,23.0,20.0,Baseline
7,1,45,Day 07 01:45,20.73,22.8,12.5,21.88,-0.04,False,0.0,23.0,20.0,Baseline
7,1,60,Day 07 01:60,20.6,22.8,12.5,25.0,-0.04,False,0.0,23.0,20.0,Baseline
7,2,15,Day 07 02:15,20.73,22.8,12.5,28.12,-0.04,False,0.0,23.0,20.0,Baseline
7,2,30,Day 07 02:30,20.85,22.8,12.5,31.25,-0.04,False,0.0,23.0,20.0,Baseline
7,2,45,Day 07 02:45,20.98,22.8,12.5,34.38,-0.04,False,0.0,23.0,20.0,Baseline
7,2,60,Day 07 02:60,21.1,22.8,12.5,37.5,-0.04,False,0.0,23.0,20.0,Baseline
7,3,15,Day 07 03:15,21.1,22.8,12.5,40.62,-0.04,False,0.0,23.0,20.0,Baseline
7,3,30,Day 07 03:30,21.1,22.8,12.5,43.75,-0.04,False,0.0,23.0,20.0,Baseline
7,3,45,Day 07 03:45,21.1,22.8,12.5,46.88,-0.04,False,0.0,23.0,20.0,Baseline
7,3,60,Day 07 03:60,21.1,22.8,12.5,50.0,-0.04,False,0.0,23.0,20.0,Baseline
7,4,15,Day 07 04:15,20.98,22.8,12.5,53.12,-0.04,False,0.0,23.0,20.0,Baseline
7,4,30,Day 07 04:30,20.85,22.8,12.5,56.25,-0.04,False,0.0,23.0,20.0,Baseline
7,4,45,Day 07 04:45,20.73,22.8,12.5,59.38,-0.04,False,0.0,23.0,20.0,Baseline
7,4,60,Day 07 04:60,20.6,22.8,12.5,62.5,-0.04,False,0.0,23.0,20.0,Baseline
7,5,15,Day 07 05:15,20.6,22.8,12.5,65.62,-0.04,False,0.0,23.0,20.0,Baseline
7,5,30,Day 07 05:30,20.6,22.8,12.5,68.75,-0.04,False,0.0,23.0,20.0,Baseline
7,5,45,Day 07 05:45,20.6,22.8,12.5,71.88,-0.04,False,0.0,23.0,20.0,Baseline
7,5,60,Day 07 05:60,20.6,22.8,12.5,75.0,-0.04,False,0.0,23.0,20.0,Baseline
7,6,15,Day 07 06:15,20.73,22.8,12.5,78.12,-0.04,False,0.0,23.0,20.0,Baseline
7,6,35,Day 07 06:35,20.85,22.8,12.5,81.25,-0.04,False,0.0,23.0,20.0,Baseline
7,6,53,Day 07 06:53,20.98,22.8,12.5,84.38,-0.04,False,0.0,23.0,20.0,Baseline
7,6,60,Day 07 06:60,21.1,22.8,12.5,87.5,-0.04,False,0.0,23.0,20.0,Baseline
7,7,15,Day 07 07:15,21.25,22.8,14.3,91.08,-0.04,False,15.0,23.0,20.0,Baseline
7,7,30,Day 07 07:30,21.4,22.8,14.3,94.65,-0.04,False,15.0,23.0,20.0,Baseline
7,7,45,Day 07 07:45,21.55,22.8,14.3,98.23,-0.04,False,15.0,23.0,20.0,Baseline
7,7,60,Day 07 07:60,21.7,22.8,14.3,101.8,-0.04,False,15.0,23.0,20.0,Baseline
7,8,23,Day 07 08:23,22.1,22.81,17.9,106.28,-0.04,False,45.0,23.0,20.0,Baseline
7,8,34,Day 07 08:34,22.5,22.87,17.9,110.75,-0.03,False,45.0,23.0,20.0,Baseline
7,8,49,Day 07 08:49,22.9,22.93,17.9,115.22,-0.02,False,45.0,23.0,20.0,Baseline
7,8,68,Day 07 08:68,23.3,22.98,19.19,120.02,-0.0,False,45.0,23.0,20.0,Baseline
7,9,15,Day 07 09:15,23.3,22.98,19.19,124.82,-0.0,False,45.0,23.0,20.0,Baseline
7,9,38,Day 07 09:38,23.3,22.98,19.19,129.62,-0.0,False,45.0,23.0,20.0,Baseline
7,9,45,Day 07 09:45,23.3,22.98,19.19,134.42,-0.0,False,45.0,23.0,20.0,Baseline
7,9,60,Day 07 09:60,23.3,22.98,19.19,139.21,-0.0,False,45.0,23.0,20.0,Baseline
7,10,15,Day 07 10:15,24.28,23.12,23.38,145.06,0.03,False,45.0,23.0,20.0,Baseline
7,10,30,Day 07 10:30,25.25,23.26,27.57,151.95,0.06,False,45.0,23.0,20.0,Baseline
7,10,45,Day 07 10:45,26.22,23.39,31.77,159.89,0.09,False,45.0,23.0,20.0,Baseline
7,10,60,Day 07 10:60,27.2,23.53,35.96,168.88,0.12,False,45.0,23.0,20.0,Baseline
7,11,15,Day 07 11:15,27.62,23.59,37.79,178.33,0.13,False,45.0,23.0,20.0,Baseline
7,11,30,Day 07 11:30,28.05,23.65,39.61,188.23,0.14,False,45.0,23.0,20.0,Baseline
7,11,45,Day 07 11:45,28.47,23.71,41.44,198.6,0.16,False,45.0,23.0,20.0,Baseline
